"";"LFWA64TTUSM647S";"PAYEMS";"ratio"
"2018-04-01";206356178,130756;185593750;0,899385478453666
"2018-05-01";206370137,083559;185931250;0,900960054723018
"2018-06-01";206494170,681921;186258750;0,902004881711207
"2018-07-01";206516326,869528;186481250;0,902985506408964
"2018-08-01";206545428,934638;186833750;0,904564922901897
"2018-09-01";206597282,569425;186968750;0,904991332290012
"2018-10-01";206625648,710136;187315000;0,90654282839191
"2018-11-01";206678212,879386;187560000;0,907497686316152
"2018-12-01";206808695,479389;187843750;0,908297156290128
"2019-01-01";206274858,357756;188233750;0,91253850080718
"2019-02-01";206322091,88045;188275000;0,912529522573341
